restaurant_id,name,address,coordinates,inserted_at_timestamp,location,rating,review_count,zip_code,cuisine
gDCK63W5_8-tdCCWr92rbw,Shan,"""['191 Smith St', 'Brooklyn, NY 11201']""","""{'latitude': 40.68524, 'longitude': -73.99133}""",2024-02-19 14:01:18.172896,"""{'address1': '191 Smith St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['191 Smith St', 'Brooklyn, NY 11201']}""",4.3,87,11201,Chinese
SXWnyFNLCehVlJPRxk7gAg,Anejo Tribeca,"""['301 Church St', 'New York, NY 10013']""","""{'latitude': 40.71931499731559, 'longitude': -74.00427174111186}""",2024-02-19 14:01:18.581669,"""{'address1': '301 Church St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['301 Church St', 'New York, NY 10013']}""",4.1,678,10013,Mexican
_keKJLEBW07bK7Jd6ikvAw,Hay Hay Roasted,"""['167 1st Ave', 'New York, NY 10003']""","""{'latitude': 40.72908, 'longitude': -73.98446}""",2024-02-19 14:01:10.761858,"""{'address1': '167 1st Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['167 1st Ave', 'New York, NY 10003']}""",4.5,32,10003,Mexican
TgoYhgbPCYhLBNtpue3QHg,Maya,"""['1191 1st Ave', 'New York, NY 10065']""","""{'latitude': 40.7631741, 'longitude': -73.9597236}""",2024-02-19 14:01:25.912240,"""{'address1': '1191 1st Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10065', 'country': 'US', 'state': 'NY', 'display_address': ['1191 1st Ave', 'New York, NY 10065']}""",3.7,1094,10065,Mexican
f7g3GhoQs9nQVTJEL2p48Q,Gran Electrica,"""['5 Front St', 'Brooklyn, NY 11201']""","""{'latitude': 40.7027, 'longitude': -73.99314}""",2024-02-19 14:01:33.705772,"""{'address1': '5 Front St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['5 Front St', 'Brooklyn, NY 11201']}""",3.6,542,11201,Mexican
k5fd-RSdG4IuXnnGSQ5oOw,San Marzano Pasta Fresca,"""['117 Second Ave', 'New York, NY 10003']""","""{'latitude': 40.727966, 'longitude': -73.988382}""",2024-02-19 14:01:02.593395,"""{'address1': '117 Second Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['117 Second Ave', 'New York, NY 10003']}""",3.8,1602,10003,Mexican
WAVszL8c2-JhQdFpUAxFBg,Sartiano's,"""['99 Prince St', 'New York, NY 10012']""","""{'latitude': 40.72479646297092, 'longitude': -73.99865347261444}""",2024-02-19 14:01:02.293610,"""{'address1': '99 Prince St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['99 Prince St', 'New York, NY 10012']}""",4.4,54,10012,Mexican
HPwH6d3yshPeF0pywgDfSw,Shanghai Best,"""['J Cy', 'Unit Retail 2 J', 'Cy, NJ 07302']""","""{'latitude': 40.71681948978749, 'longitude': -74.03873209999999}""",2024-02-19 14:01:18.062512,"""{'address1': 'J Cy', 'address2': 'Unit Retail 2 J', 'address3': None, 'city': 'Cy', 'zip_code': '07302', 'country': 'US', 'state': 'NJ', 'display_address': ['J Cy', 'Unit Retail 2 J', 'Cy, NJ 07302']}""",3.9,94,7302,Mexican
Wx6lMnEh7dCmX-9PQF1Ifw,Toloache 50,"""['251 West 50th St', 'New York, NY 10012']""","""{'latitude': 40.762227, 'longitude': -73.9856178382696}""",2024-02-19 14:01:18.449328,"""{'address1': '251 West 50th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['251 West 50th St', 'New York, NY 10012']}""",4.0,2283,10012,Mexican
8_AqbONdiu8MUqVkCuJKUw,Mitica,"""['222 Franklin St', 'Brooklyn, NY 11222']""","""{'latitude': 40.733284, 'longitude': -73.958001}""",2024-02-19 14:01:33.291974,"""{'address1': '222 Franklin St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['222 Franklin St', 'Brooklyn, NY 11222']}""",4.6,15,11222,Mexican
Vs8kQ4R381y27AH018gLpg,Supper,"""['156 E 2nd St', 'New York, NY 10009']""","""{'latitude': 40.72290786539601, 'longitude': -73.98520720537888}""",2024-02-19 14:01:02.442754,"""{'address1': '156 E 2nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['156 E 2nd St', 'New York, NY 10009']}""",3.9,1501,10009,Mexican
qgY41g_eg0eNzewCXmKcaA,Lillo Cucina Italiana,"""['331 Henry St', 'Brooklyn, NY 11201']""","""{'latitude': 40.69023, 'longitude': -73.99634}""",2024-02-19 14:01:02.311648,"""{'address1': '331 Henry St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['331 Henry St', 'Brooklyn, NY 11201']}""",4.8,222,11201,Mexican
lynQoI3w_pzYfHGeuUU-Qg,Shu Jiao Fu Zhou,"""['295 Grand St', 'New York, NY 10002']""","""{'latitude': 40.7174109, 'longitude': -73.99210041198651}""",2024-02-19 14:01:03.004895,"""{'address1': '295 Grand St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['295 Grand St', 'New York, NY 10002']}""",4.5,1382,10002,Mexican
ZamvzoxEKiJEboO0ZUdogw,AMICI Ristorante,"""['165 Mulberry St', 'New York, NY 10013']""","""{'latitude': 40.71981, 'longitude': -73.99722}""",2024-02-19 14:01:02.234050,"""{'address1': '165 Mulberry St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['165 Mulberry St', 'New York, NY 10013']}""",4.3,206,10013,Mexican
mUl0wtO7tPkBocuJqZ-7Dw,Dun Huang -  Grand Central,"""['320 Lexington Ave', 'New York, NY 10016']""","""{'latitude': 40.74922, 'longitude': -73.97785}""",2024-02-19 14:01:18.112550,"""{'address1': '320 Lexington Ave', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['320 Lexington Ave', 'New York, NY 10016']}""",4.4,337,10016,Mexican
qrncvjkiKN5Z-JC06ygy6A,Hutong New York,"""['Inside Beacon Courtyard', 'New York, NY 10022']""","""{'latitude': 40.761551, 'longitude': -73.967443}""",2024-02-19 14:01:18.149604,"""{'address1': 'Inside Beacon Courtyard', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['Inside Beacon Courtyard', 'New York, NY 10022']}""",3.6,582,10022,Mexican
pVlKM-vyOJxfoJ9fwMDDfA,Sky Pavilion,"""['325 W 42nd St', 'New York, NY 10036']""","""{'latitude': 40.757968, 'longitude': -73.990862}""",2024-02-19 14:01:11.160200,"""{'address1': '325 W 42nd St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['325 W 42nd St', 'New York, NY 10036']}""",4.7,3,10036,Mexican
1jAB_uaI8-P_wSqOo2S3KQ,Mazu Szechuan,"""['495 3rd Ave', 'New York, NY 10016']""","""{'latitude': 40.745234, 'longitude': -73.97812}""",2024-02-19 14:01:11.141500,"""{'address1': '495 3rd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['495 3rd Ave', 'New York, NY 10016']}""",4.5,135,10016,Mexican
Ck09FempamAKGSPsV_bX-A,Xixa,"""['241 S 4th St', 'Brooklyn, NY 11211']""","""{'latitude': 40.7104, 'longitude': -73.95854}""",2024-02-19 14:01:19.152297,"""{'address1': '241 S 4th St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['241 S 4th St', 'Brooklyn, NY 11211']}""",4.4,686,11211,Mexican
xeC9vn3dxVVzAMR_aFwfXg,IL Brigante,"""['214 Front St', 'New York, NY 10038']""","""{'latitude': 40.707492, 'longitude': -74.002571}""",2024-02-19 14:01:02.741199,"""{'address1': '214 Front St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['214 Front St', 'New York, NY 10038']}""",3.8,521,10038,Mexican
WG639VkTjmK5dzydd1BBJA,Rubirosa,"""['235 Mulberry St', 'New York, NY 10012']""","""{'latitude': 40.722766, 'longitude': -73.996233}""",2024-02-19 14:01:01.761931,"""{'address1': '235 Mulberry St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['235 Mulberry St', 'New York, NY 10012']}""",4.3,3288,10012,Mexican
ZeJWNwd7ipveJywGq2RCgg,La Diaspora,"""['91 Baxter St', 'New York, NY 10013']""","""{'latitude': 40.7168502, 'longitude': -73.9994938}""",2024-02-19 14:01:18.602350,"""{'address1': '91 Baxter St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['91 Baxter St', 'New York, NY 10013']}""",4.5,13,10013,Mexican
1ux5rxwWjKxoXHUyGynwSg,Purepecha,"""['213 Smith St', 'Brooklyn, NY 11201']""","""{'latitude': 40.68454335716857, 'longitude': -73.99182679347962}""",2024-02-19 14:01:18.717527,"""{'address1': '213 Smith St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['213 Smith St', 'Brooklyn, NY 11201']}""",4.3,99,11201,Mexican
WVsPyl-DGRu0O_rQYdIMVQ,The Best Sichuan,"""['47 W 39th St', 'New York, NY 10018']""","""{'latitude': 40.75266, 'longitude': -73.98459}""",2024-02-19 14:01:10.798000,"""{'address1': '47 W 39th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['47 W 39th St', 'New York, NY 10018']}""",4.3,142,10018,Mexican
OWNmOq-TAsHjGcYdCVclSw,Osteria La Baia,"""['129 W 52nd St', 'New York, NY 10019']""","""{'latitude': 40.76189587672743, 'longitude': -73.9806749}""",2024-02-19 14:01:02.179788,"""{'address1': '129 W 52nd St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['129 W 52nd St', 'New York, NY 10019']}""",4.4,136,10019,Mexican
Z-QmxQZAJEy5GXqA82Bemw,Da Toscano,"""['24 Minetta Ln', 'New York, NY 10012']""","""{'latitude': 40.730508, 'longitude': -74.001238}""",2024-02-19 14:01:02.215731,"""{'address1': '24 Minetta Ln', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['24 Minetta Ln', 'New York, NY 10012']}""",4.7,159,10012,Mexican
LT0yyLNM84EiJj9DL0rfHA,Hui Restaurant & Bar,"""['314 E 70th St', 'New York, NY 10021']""","""{'latitude': 40.76701, 'longitude': -73.95846}""",2024-02-19 14:01:10.832610,"""{'address1': '314 E 70th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10021', 'country': 'US', 'state': 'NY', 'display_address': ['314 E 70th St', 'New York, NY 10021']}""",4.3,300,10021,Mexican
pjBDqn25X3The5AhZD3glw,El Zason,"""['491 Atlantic Ave', 'Brooklyn, NY 11217']""","""{'latitude': 40.6858552, 'longitude': -73.98149149999999}""",2024-02-19 14:01:33.619711,"""{'address1': '491 Atlantic Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['491 Atlantic Ave', 'Brooklyn, NY 11217']}""",4.1,72,11217,Mexican
NOh24SMS6k4pzNv8Ds7KDg,Cafe Habana,"""['17 Prince St', 'New York, NY 10012']""","""{'latitude': 40.72293, 'longitude': -73.99419}""",2024-02-19 14:01:19.035489,"""{'address1': '17 Prince St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['17 Prince St', 'New York, NY 10012']}""",4.0,3315,10012,Mexican
IfIyjm4SfORGYPbaAWST3g,MEXiCUE,"""['225 5th Ave', 'New York, NY 10010']""","""{'latitude': 40.743617, 'longitude': -73.987867}""",2024-02-19 14:01:19.016333,"""{'address1': '225 5th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['225 5th Ave', 'New York, NY 10010']}""",4.0,696,10010,Mexican
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,"""['334 W 46th St', 'New York, NY 10036']""","""{'latitude': 40.76015, 'longitude': -73.9893699}""",2024-02-19 14:01:11.232289,"""{'address1': '334 W 46th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['334 W 46th St', 'New York, NY 10036']}""",4.1,1749,10036,Mexican
QaolMEijS7L6eodSneOdng,Tri Dim Shanghai West,"""['467 Columbus Ave', 'New York, NY 10024']""","""{'latitude': 40.78412, 'longitude': -73.97368}""",2024-02-19 14:01:10.202072,"""{'address1': '467 Columbus Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['467 Columbus Ave', 'New York, NY 10024']}""",4.1,246,10024,Mexican
dh5r9-SbN8xJ76XvnayWLQ,Giano Restaurant,"""['126 E 7th St', 'New York, NY 10009']""","""{'latitude': 40.7262256596862, 'longitude': -73.9840574049125}""",2024-02-19 14:01:02.962187,"""{'address1': '126 E 7th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['126 E 7th St', 'New York, NY 10009']}""",4.3,713,10009,Mexican
hSpZSqElyjHTfE4lQJ97Cg,Mareluna,"""['137 Sullivan St', 'New York, NY 10012']""","""{'latitude': 40.726787, 'longitude': -74.001836}""",2024-02-19 14:01:02.029614,"""{'address1': '137 Sullivan St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['137 Sullivan St', 'New York, NY 10012']}""",4.5,98,10012,Mexican
tvqtAjAyc7dplVVwhw3VZQ,La Contenta Oeste,"""['78 W 11th St', 'New York, NY 10011']""","""{'latitude': 40.7352, 'longitude': -73.99808}""",2024-02-19 14:01:18.997162,"""{'address1': '78 W 11th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['78 W 11th St', 'New York, NY 10011']}""",4.2,332,10011,Mexican
bww5kCyq87GanHAjXJ-OVA,Rosticceria Evelina,"""['455 Myrtle Ave', 'Brooklyn, NY 11205']""","""{'latitude': 40.69345501272235, 'longitude': -73.96730191006134}""",2024-02-19 14:01:01.925345,"""{'address1': '455 Myrtle Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['455 Myrtle Ave', 'Brooklyn, NY 11205']}""",4.8,4,11205,Mexican
ysqgdbSrezXgVwER2kQWKA,Juliana's,"""['19 Old Fulton St', 'Brooklyn, NY 11201']""","""{'latitude': 40.70274718768062, 'longitude': -73.99343490196397}""",2024-02-19 14:01:02.275457,"""{'address1': '19 Old Fulton St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['19 Old Fulton St', 'Brooklyn, NY 11201']}""",4.4,2751,11201,Mexican
Q85ScF9s6vlS5_i453AFvg,Tangy Noodle,"""['98 8th Ave', 'New York, NY 10011']""","""{'latitude': 40.740203, 'longitude': -74.00193}""",2024-02-19 14:01:11.251504,"""{'address1': '98 8th Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['98 8th Ave', 'New York, NY 10011']}""",4.4,97,10011,Mexican
yZJbealagfujEkgesAl2hA,Lupa,"""['170 Thompson St', 'New York, NY 10012']""","""{'latitude': 40.7276, 'longitude': -74.000045}""",2024-02-19 14:01:02.797599,"""{'address1': '170 Thompson St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['170 Thompson St', 'New York, NY 10012']}""",4.0,1753,10012,Mexican
DIwe3i_-OkvfKAHrNDGtSw,Red Sorghum 夜宴,"""['28-03 Jackson Ave', 'New York, NY 11101']""","""{'latitude': 40.74852, 'longitude': -73.93789}""",2024-02-19 14:01:10.164812,"""{'address1': '28-03 Jackson Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '11101', 'country': 'US', 'state': 'NY', 'display_address': ['28-03 Jackson Ave', 'New York, NY 11101']}""",4.4,51,11101,Mexican
22nKUyCIbpnzR6R3_g1ptQ,Carmine's Italian Restaurant - Times Square,"""['200 W 44th St', 'New York, NY 10036']""","""{'latitude': 40.75749848725768, 'longitude': -73.98665333142026}""",2024-02-19 14:01:02.702524,"""{'address1': '200 W 44th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['200 W 44th St', 'New York, NY 10036']}""",4.0,4799,10036,Mexican
XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,"""['40 W 56th St', 'New York, NY 10019']""","""{'latitude': 40.76292, 'longitude': -73.976546}""",2024-02-19 14:01:03.026168,"""{'address1': '40 W 56th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['40 W 56th St', 'New York, NY 10019']}""",4.4,1082,10019,Mexican
0dDCDQz7DrKkSvu9h2hcQw,Chow House,"""['181 Bleecker St', 'New York, NY 10012']""","""{'latitude': 40.72915, 'longitude': -74.00072}""",2024-02-19 14:01:03.093586,"""{'address1': '181 Bleecker St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['181 Bleecker St', 'New York, NY 10012']}""",4.4,656,10012,Mexican
8YWLuLUKj0t_0_Xv06UUtw,Ye's Apothecary,"""['119 Orchard St', 'New York, NY 10002']""","""{'latitude': 40.71945, 'longitude': -73.9898}""",2024-02-19 14:01:10.608164,"""{'address1': '119 Orchard St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['119 Orchard St', 'New York, NY 10002']}""",4.5,533,10002,Mexican
9-vKFnUby_6-pR6UJxjzMw,Sun Hing Lung Co,"""['58 Henry St', 'New York, NY 10002']""","""{'latitude': 40.7127362, 'longitude': -73.9950764600962}""",2024-02-19 14:01:18.082567,"""{'address1': '58 Henry St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['58 Henry St', 'New York, NY 10002']}""",4.5,260,10002,Mexican
X8ZS-dgiMIJvhwf9SaDnjw,Wah Fung No 1,"""['79 Chrystie St', 'New York, NY 10002']""","""{'latitude': 40.71735, 'longitude': -73.99457}""",2024-02-19 14:01:10.327567,"""{'address1': '79 Chrystie St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['79 Chrystie St', 'New York, NY 10002']}""",4.5,2083,10002,Mexican
bnDfFdiCcPzhuNWUJORvLQ,Noodle Village,"""['13 Mott St', 'New York, NY 10013']""","""{'latitude': 40.714167, 'longitude': -73.998803}""",2024-02-19 14:01:11.095732,"""{'address1': '13 Mott St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['13 Mott St', 'New York, NY 10013']}""",3.9,1422,10013,Mexican
_2jMPuiK-7nLepFdPu2TTQ,345 Cantina,"""['345 E 6th St', 'New York, NY 10003']""","""{'latitude': 40.72665, 'longitude': -73.98651}""",2024-02-19 14:01:26.024842,"""{'address1': '345 E 6th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['345 E 6th St', 'New York, NY 10003']}""",4.5,30,10003,Mexican
MphfKkYFEe0BDQ6hZ0A5fA,Gelso & Grand,"""['186 Grand St', 'New York, NY 10013']""","""{'latitude': 40.71958, 'longitude': -73.99734}""",2024-02-19 14:01:01.908527,"""{'address1': '186 Grand St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['186 Grand St', 'New York, NY 10013']}""",4.3,1492,10013,Mexican
KCBfW6sWl9Gx-LvMff08jg,Osteria Morini,"""['218 Lafayette St', 'New York, NY 10012']""","""{'latitude': 40.7219179851303, 'longitude': -73.9976472073402}""",2024-02-19 14:01:02.832290,"""{'address1': '218 Lafayette St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['218 Lafayette St', 'New York, NY 10012']}""",4.0,1333,10012,Mexican
f8ipr8Wdy1_wHhw7JgNqPQ,Da Claudio,"""['21 Ann St', 'New York, NY 10038']""","""{'latitude': 40.71087, 'longitude': -74.00753}""",2024-02-19 14:01:02.405459,"""{'address1': '21 Ann St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['21 Ann St', 'New York, NY 10038']}""",4.2,636,10038,Mexican
